Class,Category,Time,WeeklyIncome,GrossIncome,SecondViews,FirstViews
scifi,6,176,27.8,171.5,2849,2903
comedy,6,147,11.8,55.5,2455,2500
comedy,6,132,20.4,64.1,2594,2613
action,6,153,20.1,87.7,2815,2869
action,6,132,43.4,155.4,3209,3411
scifi,7,260,64.8,431.1,2970,3126
comedy,6,139,27.7,116.1,2747,2786
comedy,5,104,57.4,205.4,3312,3314
animated,8,252,34.2,171.1,3005,3131
comedy,3,131,41.5,163.5,3027,3254
comedy,6,111,18.7,101.8,2508,2544
thriller,8,120,29.2,140.5,27,2538
comedy,4,167,35.1,152.1,3158,3240
drama,5,195,14.6,69.3,2427,2427
thriller,6,286,26.7,293.5,2161,2821
comedy,7,111,18.1,66.5,2706,2732
drama,8,267,5.9,130.1,16,1990
action,6,118,19.2,68.2,2735,2735
thriller,5,181,23.2,116.7,2547,3002
action,8,139,15.8,60.7,2942,2942
drama,4,132,11,37,1963,1966
thriller,4,83,15.9,40.8,2710,2710
action,7,160,35.5,126.9,3163,3163
animated,7,244,57.4,245.8,3257,3257
thriller,7,174,30.1,101,3064,3069
drama,7,160,18,136.8,2875,2875
family,4,135,15,140,2878,3151
thriller,8,124,12.7,81.3,2307,2369
animated,6,120,5.2,49.5,54,54
family,6,176,5.9,34.1,9,2331
comedy,4,127,14.5,57.2,1103,1420
thriller,4,139,34.6,89.1,3467,3467
comedy,3,146,14.3,60,2664,2717
comedy,6,90,13.7,57.3,2910,2910
scifi,4,132,22.8,60.9,3054,3101
drama,4,146,28.1,125.6,2848,3265
action,3,92,18,56,2641,2641
drama,5,111,15,61.3,3155,3220
action,4,118,19.5,79.1,2583,2820
thriller,7,139,9,45,2621,2631
action,4,167,34.8,187.7,2938,3188
animated,6,230,38.8,137.7,3257,3319
action,6,148,70.8,215.4,3653,3669
comedy,4,175,25.7,117.6,2802,2854
action,6,113,22.4,113.3,3061,3061
action,7,160,41.3,182.6,3407,3407
comedy,6,139,42.3,157,2912,3301
action,5,132,54.5,157.3,3025,3112
thriller,4,167,29.7,155.4,2577,2925
scifi,4,111,26.4,73.2,2956,2956
scifi,4,167,18.1,90.4,2805,2664
comedy,4,132,17.4,68.4,2380,2835
drama,8,197,6.9,32.5,131,2262
thriller,7,90,8.2,39.6,664,1708
drama,6,167,20.9,115.6,1865,2803
comedy,6,174,28.6,166.2,2614,2697
drama,5,111,9.6,33.5,2130,2130
comedy,4,118,13.1,37.9,2568,2571
action,3,118,40.1,125.3,3037,3037
family,4,104,55.1,260,3127,3256
drama,6,148,30.3,95,2708,2708
action,8,174,7.6,128.1,16,2027
comedy,6,167,33.6,182.8,3012,3092
drama,6,160,39.8,233.6,2774,3061
